Find 13 over 14 + 7 over 14.,"Let's reason step by step. To add two fractions, we simply add the numerators and the denominators, so we get 20 over 28.",1 and 4 over 7,1 and 3 over 7,1 and 5 over 14,20 over 28,B
What does the p equal in 3 + p = 15?,"Let's reason step by step. To find the value of p, we need to add 3 to 15, which gives us 18.",3,5,12,18,C
"When n = 11, what is the value of 10 – (n + 6)?","Let's reason step by step. First, we add n and 6, which gives us 17. Then, we subtract 17 from 10, resulting in 7.",–7,5,7,27,A
Find the exact answer: 365 + 56,"Let's reason step by step. Adding the hundreds digits gives us 300, and adding the tens digits gives us 11, so the total is 311.",300,309,311,421,B
"Gary has 72 cows on his farm. He has 6 times as many cows as he has horses. The number sentence below can be used to find the number of horses, h, he has. 72 ÷ h = 6 How many horses, h, does Gary have?","Let's reason step by step. Since Gary has 6 times as many cows as horses, we need to multiply the number of cows by 6 to find the number of horses, which gives us 432 horses.",12 horses,66 horses,78 horses,432 horses,A
Which of the following is NOT equivalent to 3 and 3 over 4 gal?,"Let's reason step by step. We know that 1 gallon is equal to 2 quarts, so 3 and 3 over 4 gallons would be equal to 15 quarts.",60 c,15 qt,30 pt,13 qt,D
Which algebraic expression represents four times the quantity 22 less than x?,"Let's reason step by step. We start by subtracting x from 22, and then we multiply the result by 4, which gives us (4 * 22) - x.",4(x – 22),(4 • 22) – x,4(22 – x),(x • 4) – 22,A
Kelly chose a mystery number. Her mystery number is a factor of 38. Which number could be Kelly’s mystery number?,"Let's reason step by step. Since 38 is divisible by 4, then 4 must be a factor of 38.",2,3,4,8,A
Celia has a large container in which four different kinds of coins are thoroughly mixed. She wants to take a sample of her coins to estimate which kind of coin she has the most. Which of the following methods is the best way for her to select a sample?,"Let's reason step by step. To have a representative sample, we need to make sure we have the same number of each type of coin, so taking ten coins of each type is the best method.",taking one coin from the container,taking coins until she has one of every kind,taking ten coins of each type from the container,taking thirty coins out of the container without looking,D
"A teacher has three packages of stickers. One package contains 56 stickers, another package contains 48 stickers, and the third package contains 58 stickers. If the teacher divides all the stickers equally among 27 students, how many stickers will each student receive?","Let's reason step by step. First, we add the number of stickers in all three packages, which gives us 162. Then, we divide this number by the number of students, resulting in 9 stickers per student.",6 stickers,9 stickers,54 stickers,81 stickers,A
"A package of paper towels has 12 rolls of paper towels in it. Mr. Kelly wants to put an equal number of rolls of paper towels into 4 rooms. He uses the number sentence below to find the number of rolls of paper towels, t, he should put into each room. 12 ÷ t = 4 Which number sentence shows another way Mr. Kelly can find the number of rolls of paper towels, t, he should put into each room?","Let's reason step by step. To find the number of rolls per room, we need to subtract the number of rooms from the total number of rolls, so the equation should be 4 - t = 12.",4 ÷ 12 = t,4 – t = 12,4 + 12 = t,4 × t = 12,D
"The volume, V, of any cube with a side length, s, can be determined using the formula V = s^3. What is the volume, in cubic centimeters, of a cube with a side length of 2.3 centimeters?","Let's reason step by step. To find the volume of a cube, we multiply the side length by 3, which gives us 8.027 cubic centimeters.",5.29,6.9,8.027,12.167,D
"One of the events at the circus was Gabriella, the Human Cannonball. On Saturday she did four shows. Her distances measured 7.04 meters, 18.81 meters, 18.39 meters, and 19.94 meters. What was the total distance Gabriella flew that day?","Let's reason step by step. Adding the units digits gives us 18, and adding the tens digits gives us 5, so the total distance is 74.18 meters.",64.18 m,74.18 m,57.14 m,59.24 m,A
What is x if 3 x = 84 ?,"Let's reason step by step. To find the value of x, we need to add 3 to 84, which gives us 87.",20,21,26,28,D
A librarian receives two boxes of booksfor the library. The first box has 136 books. The second box has 58 fewer books than the first box. What is the total number of books the librarian receives?,"Let's reason step by step. Since the second box has 58 fewer books than the first box, the total number of books the librarian receives is 194.",58,78,194,214,D
Dr. Sperline is ordering a chemical for his students to use in an experiment. He knows that each student will need to use 0.797 grams of magnesium in the first step of the experiment and 0.892 grams in a later step. He uses front-end estimation with an adjustment to figure out the approximate amount of magnesium needed by each student. What is his estimate?,"Let's reason step by step. Rounding 0.797 down to the nearest tenth gives us 0.7, and rounding 0.892 down to the nearest tenth gives us 0.8. Adding these together gives us an estimate of 1.4 grams.",1.4 g,1.7 g,1.6 g,1.5 g,B
Compute 52 + 6 * 2.,"Let's reason step by step. First, we add 52 and 6, which gives us 58. Then, we multiply 58 by 2, resulting in 116.",116,64,62,118,B
